tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
3.0,3.0,3.0,28.0,28.0,28.0,P1.0,1,0.05,6.161e-07,3.020e-06,9.989184e-04,0.6777318407,0.68855687,0.68968481,0.68855687,-0.001128,1,warm
3.0,3.0,3.0,27.0,27.0,27.0,P1.0,1,0.05,5.975e-07,3.132e-06,9.989171e-04,0.6777318926,0.68855693,0.68968486,0.68855693,-0.001128,1,warm
3.0,3.0,3.0,26.0,26.0,26.0,P1.0,1,0.05,5.788e-07,3.252e-06,9.989155e-04,0.6777319478,0.68855699,0.68968491,0.68855699,-0.001128,1,warm
3.0,3.0,3.0,25.0,25.0,25.0,P1.0,1,0.05,5.601e-07,3.383e-06,9.989139e-04,0.6777320069,0.68855706,0.68968496,0.68855706,-0.001128,1,warm
3.0,3.0,3.0,24.0,24.0,24.0,P1.0,1,0.05,5.413e-07,3.524e-06,9.989120e-04,0.6777320700,0.68855714,0.68968502,0.68855714,-0.001128,1,warm
3.0,3.0,3.0,23.0,23.0,23.0,P1.0,1,0.05,5.377e-07,3.677e-06,9.989100e-04,0.6777321378,0.68855722,0.68968508,0.68855722,-0.001128,1,warm
3.0,3.0,3.0,22.0,22.0,22.0,P1.0,1,0.05,5.366e-07,3.844e-06,9.989078e-04,0.6777322106,0.68855730,0.68968514,0.68855730,-0.001128,1,warm
3.0,3.0,3.0,21.0,21.0,21.0,P1.0,1,0.05,5.362e-07,4.027e-06,9.989053e-04,0.6777322891,0.68855740,0.68968522,0.68855740,-0.001128,1,warm
3.0,3.0,3.0,20.0,20.0,20.0,P1.0,1,0.05,5.367e-07,4.228e-06,9.989026e-04,0.6777323741,0.68855750,0.68968529,0.68855750,-0.001128,1,warm
3.0,3.0,3.0,19.0,19.0,19.0,P1.0,1,0.05,5.382e-07,4.451e-06,9.988996e-04,0.6777324662,0.68855761,0.68968538,0.68855761,-0.001128,1,warm
3.0,3.0,3.0,18.0,18.0,18.0,P1.0,1,0.05,5.409e-07,4.698e-06,9.988963e-04,0.6777325666,0.68855772,0.68968547,0.68855772,-0.001128,1,warm
3.0,3.0,3.0,17.0,17.0,17.0,P1.0,1,0.05,5.849e-07,4.974e-06,9.988927e-04,0.6777326763,0.68855786,0.68968558,0.68855786,-0.001128,1,warm
3.0,3.0,3.0,16.0,16.0,16.0,P1.0,1,0.05,6.547e-07,5.285e-06,9.988886e-04,0.6777327968,0.68855800,0.68968569,0.68855800,-0.001128,1,warm
3.0,3.0,3.0,15.0,15.0,15.0,P1.0,1,0.05,7.376e-07,5.638e-06,9.988840e-04,0.6777329299,0.68855816,0.68968582,0.68855816,-0.001128,1,warm
3.0,3.0,3.0,14.0,14.0,14.0,P1.0,1,0.05,8.371e-07,6.040e-06,9.988789e-04,0.6777330777,0.68855834,0.68968596,0.68855834,-0.001128,1,warm
3.0,3.0,3.0,13.0,13.0,13.0,P1.0,1,0.05,9.581e-07,6.505e-06,9.988731e-04,0.6777332428,0.68855854,0.68968613,0.68855854,-0.001128,1,warm
3.0,3.0,3.0,12.0,12.0,12.0,P1.0,2,0.08,9.244e-07,7.047e-06,9.988607e-04,0.6777336399,0.68855898,0.68968645,0.68855898,-0.001127,1,warm
3.0,3.0,3.0,11.0,11.0,11.0,P1.0,2,0.08,9.827e-07,7.688e-06,9.988476e-04,0.6777340385,0.68855944,0.68968676,0.68855944,-0.001127,1,warm
3.0,3.0,3.0,10.0,10.0,10.0,P1.0,4,0.13,9.671e-07,8.456e-06,9.988217e-04,0.6777348202,0.68856029,0.68968729,0.68856029,-0.001127,1,warm
3.0,3.0,3.0,9.0,9.0,9.0,P1.0,4,0.13,9.903e-07,9.396e-06,9.987964e-04,0.6777355052,0.68856106,0.68968782,0.68856106,-0.001127,1,warm
3.0,3.0,3.0,8.0,8.0,8.0,P1.0,6,0.19,9.675e-07,1.057e-05,9.987595e-04,0.6777364953,0.68856215,0.68968855,0.68856215,-0.001126,1,warm
3.0,3.0,3.0,7.0,7.0,7.0,P1.0,8,0.24,9.499e-07,1.208e-05,9.987125e-04,0.6777377121,0.68856349,0.68968947,0.68856349,-0.001126,1,warm
3.0,3.0,3.0,6.0,6.0,6.0,P1.0,10,0.30,9.673e-07,1.409e-05,9.986533e-04,0.6777392497,0.68856520,0.68969068,0.68856520,-0.001125,1,warm
3.0,3.0,3.0,5.0,5.0,5.0,P1.0,24,0.68,9.999e-07,1.691e-05,9.985459e-04,0.6777419407,0.68856812,0.68969283,0.68856812,-0.001125,1,warm
3.0,3.0,3.0,4.0,4.0,4.0,P1.0,37,1.02,9.927e-07,2.114e-05,9.984033e-04,0.6777457461,0.68857225,0.68969601,0.68857225,-0.001124,1,warm
3.0,3.0,3.0,3.0,3.0,3.0,P1.0,52,1.45,9.976e-07,2.819e-05,9.981767e-04,0.6777517187,0.68857878,0.68970097,0.68857878,-0.001122,1,warm
2.99,2.99,2.99,3.0,3.0,3.0,P1.0,115,3.14,9.937e-07,3.281e-05,9.952274e-04,0.6776970191,0.68845584,0.68955815,0.68845584,-0.001102,1,warm
2.9800000000000004,2.9800000000000004,2.9800000000000004,3.0,3.0,3.0,P1.0,123,3.34,9.946e-07,6.544e-05,9.925463e-04,0.6776431448,0.68833331,0.68941458,0.68833331,-0.001081,1,warm
2.9700000000000006,2.9700000000000006,2.9700000000000006,3.0,3.0,3.0,P1.0,118,3.21,9.931e-07,1.361e-04,9.900396e-04,0.6775777560,0.68819918,0.68925878,0.68819918,-0.001060,1,warm
2.960000000000001,2.960000000000001,2.960000000000001,3.0,3.0,3.0,P1.0,271,7.49,9.620e-07,2.233e-04,1.001548e-03,0.6775126792,0.68806499,0.68910181,0.68806499,-0.001037,1,warm
2.950000000000001,2.950000000000001,2.950000000000001,3.0,3.0,3.0,P1.0,98,2.78,9.902e-07,8.545e-06,9.986109e-04,0.6774170191,0.68790068,0.68891508,0.68790068,-0.001014,1,warm
2.9400000000000013,2.9400000000000013,2.9400000000000013,3.0,3.0,3.0,P1.0,108,2.97,9.963e-07,9.187e-06,9.953286e-04,0.6773312801,0.68774569,0.68873642,0.68774569,-0.000991,1,warm
2.9300000000000015,2.9300000000000015,2.9300000000000015,3.0,3.0,3.0,P1.0,103,2.77,9.923e-07,1.011e-05,9.920408e-04,0.6772325590,0.68757778,0.68854438,0.68757778,-0.000967,1,warm
2.9200000000000017,2.9200000000000017,2.9200000000000017,3.0,3.0,3.0,P1.0,99,2.67,9.989e-07,1.143e-05,9.887757e-04,0.6771261819,0.68740215,0.68834407,0.68740215,-0.000942,1,warm
2.910000000000002,2.910000000000002,2.910000000000002,3.0,3.0,3.0,P1.0,99,2.65,9.936e-07,1.562e-05,9.855231e-04,0.6770139048,0.68722052,0.68813718,0.68722052,-0.000917,1,warm
2.900000000000002,2.900000000000002,2.900000000000002,3.0,3.0,3.0,P1.0,99,2.74,9.963e-07,1.174e-05,9.822790e-04,0.6768942070,0.68703143,0.68792231,0.68703143,-0.000891,1,warm
2.8900000000000023,2.8900000000000023,2.8900000000000023,3.0,3.0,3.0,P1.0,99,2.73,9.975e-07,1.176e-05,9.790001e-04,0.6767671491,0.68683496,0.68769959,0.68683496,-0.000865,1,warm
2.8800000000000026,2.8800000000000026,2.8800000000000026,3.0,3.0,3.0,P1.0,99,2.70,9.867e-07,1.219e-05,9.755948e-04,0.6766429011,0.68664102,0.68748092,0.68664102,-0.000840,1,warm
2.8700000000000028,2.8700000000000028,2.8700000000000028,3.0,3.0,3.0,P1.0,99,2.67,9.953e-07,1.188e-05,9.723010e-04,0.6765034718,0.68643209,0.68724538,0.68643209,-0.000813,1,warm
2.860000000000003,2.860000000000003,2.860000000000003,3.0,3.0,3.0,P1.0,99,2.72,9.977e-07,1.198e-05,9.690493e-04,0.6763558333,0.68621504,0.68700091,0.68621504,-0.000786,1,warm
2.850000000000003,2.850000000000003,2.850000000000003,3.0,3.0,3.0,P1.0,100,2.79,9.745e-07,1.194e-05,9.658248e-04,0.6762016184,0.68599145,0.68674942,0.68599145,-0.000758,1,warm
2.8400000000000034,2.8400000000000034,2.8400000000000034,3.0,3.0,3.0,P1.0,100,2.70,9.739e-07,1.207e-05,9.626140e-04,0.6760403938,0.68576092,0.68649062,0.68576092,-0.000730,1,warm
2.8300000000000036,2.8300000000000036,2.8300000000000036,3.0,3.0,3.0,P1.0,100,2.74,9.754e-07,1.224e-05,9.594132e-04,0.6758726804,0.68552397,0.68622504,0.68552397,-0.000701,1,warm
2.820000000000004,2.820000000000004,2.820000000000004,3.0,3.0,3.0,P1.0,100,2.73,9.777e-07,1.245e-05,9.562234e-04,0.6756986365,0.68528075,0.68595286,0.68528075,-0.000672,1,warm
2.810000000000004,2.810000000000004,2.810000000000004,3.0,3.0,3.0,P1.0,100,2.78,9.808e-07,1.269e-05,9.530460e-04,0.6755184019,0.68503143,0.68567425,0.68503143,-0.000643,1,warm
2.8000000000000043,2.8000000000000043,2.8000000000000043,3.0,3.0,3.0,P1.0,100,2.69,9.920e-07,1.307e-05,9.498825e-04,0.6753321137,0.68477616,0.68538936,0.68477616,-0.000613,1,warm
2.7900000000000045,2.7900000000000045,2.7900000000000045,3.0,3.0,3.0,P1.0,104,2.80,9.864e-07,1.286e-05,9.467466e-04,0.6751411418,0.68451626,0.68509944,0.68451626,-0.000583,1,warm
2.7800000000000047,2.7800000000000047,2.7800000000000047,3.0,3.0,3.0,P1.0,107,2.99,9.886e-07,1.276e-05,9.436299e-04,0.6749439890,0.68425031,0.68480317,0.68425031,-0.000553,1,warm
2.770000000000005,2.770000000000005,2.770000000000005,3.0,3.0,3.0,P1.0,110,3.11,9.986e-07,1.276e-05,9.405348e-04,0.6747410735,0.68397873,0.68450096,0.68397873,-0.000522,1,warm
2.760000000000005,2.760000000000005,2.760000000000005,3.0,3.0,3.0,P1.0,115,3.27,9.911e-07,1.253e-05,9.374712e-04,0.6745329483,0.68370206,0.68419331,0.68370206,-0.000491,1,warm
2.7500000000000053,2.7500000000000053,2.7500000000000053,3.0,3.0,3.0,P1.0,120,3.28,9.894e-07,1.239e-05,9.343052e-04,0.6743190724,0.68341980,0.68387997,0.68341980,-0.000460,1,warm
